"GROUP","WOMEN","MEN","MEAN NET","DIFFERENCE MEAN ABS","W - EXECUTIVE","M - EXECUTIVE","DIFFERENCE EXECUTIVE ABS","W - MIDDLE MANAGER","M - MIDDLE MANAGER","DIFFERENCE MIDDLE MANAGER ABS","W - EMPLOYEE","M - EMPLOYEE","DIFFERENCE EMPLOYEE ABS","W - WORKER","M - WORKER","DIFFERENCE WORKER ABS","W - 18-25","M - 18-25","DIFFERENCE 18-25 ABS","W - 26-50","M - 26-50","DIFFERENCE 26-50 ABS","W - 50+","M - 50+","DIFFERENCE 50+ ABS"
GROUP 1,10.67777771419949,12.777777777777779,11.955555386013454,2.1000000635782876,18.177777608235676,22.47777811686198,4.700000339084202,12.288888931274414,14.433333396911621,2.144444465637207,9.811111026340061,10.644444465637207,0.8333334392971463,9.444444550408257,10.84444448682997,1.3999999364217122,8.844444380866157,9.488888952467176,0.64444457160102,10.744444635179308,12.83333322736952,2.0888885921902127,11.34444448682997,14.422222243414986,3.0777777565850153
GROUP 2,11.92358885946784,14.791767316643817,13.63122996691562,2.868375647029825,20.087108681875996,25.113877247083295,5.130737012261853,13.209218633565698,15.526226270777679,2.3224303628941723,10.2699778161673,11.304781862277247,1.0651220155226528,9.857825983737177,11.50751786987741,1.6879467535171715,9.12090214244362,9.788784818693955,0.7206803132137819,11.93758935201982,14.446734044068196,2.5104757252073298,12.996154793618729,17.511412387356135,4.518954907023087
GROUP 3,12.618506497634954,15.245129878386791,14.156060600693607,2.6266233807518367,20.873593086804146,25.69437231129898,4.828787880026417,13.627489212787513,15.460281383423577,1.8334415216982622,10.519264063277802,11.13571428117298,0.650000017958802,9.734307358275244,11.508225108637955,1.7834415590608275,9.3429653592956,9.96255410285223,0.6369047670653372,12.642099568338105,14.786471874682935,2.1465368085093313,14.04891774561498,18.596212114606583,4.547294368991604
GROUP 4,12.512500023841858,14.735000014305115,13.797500061988831,2.2224999904632567,20.662499713897706,25.200000047683716,4.537500333786011,13.34500002861023,14.795000028610229,1.45,10.2724999666214,10.670000028610229,0.46750009059906006,9.284999895095826,11.0375,1.7525001049041748,9.400000023841859,10.014999985694885,0.6449999332427978,12.6375,14.402499961853028,1.7649999618530274,14.20750002861023,18.679999899864196,4.472499871253968
GROUP 5,19.100000381469727,24.700000762939453,22.200000762939453,5.600000381469727,26.700000762939453,35.79999923706055,9.099998474121094,15.800000190734863,18.799999237060547,2.9999990463256836,12.100000381469727,12.399999618530273,0.2999992370605469,12.5,13.300000190734863,0.8000001907348633,11.399999618530273,12.199999809265137,0.8000001907348633,19.5,23.5,4.0,21.799999237060547,33.79999923706055,12.0
